date,markup_tot_all_lb,markup_tot_all_ub,markup_tot_all_est,price_ret_I_all_lb,price_ret_I_all_ub,price_ret_I_all_est
2018m7,.6736890844307638,.6856659386701341,.679677511550449,1.013395020366605,1.034266457176725,1.023830738771665
2018m8,.6622058694403783,.6741559751776096,.668180922308994,1.005029744334531,1.025854567930446,1.015442156132488
2018m9,.6732372829863805,.6851222783143817,.6791797806503811,1.006146419516868,1.026857778611607,1.016502099064237
2018m10,.6711742118485702,.6829901243123073,.6770821680804388,1.011874662500563,1.032465634504725,1.022170148502644
2018m11,.6732219248383098,.6850318255802093,.6791268752092595,1.013096436859657,1.033676932550928,1.023386684705293
2018m12,.663310497145966,.675108313606517,.6692094053762415,1.023046569943143,1.043606006990005,1.033326288466574
2019m1,.6693238561588847,.6810860023051871,.6752049292320359,1.020040253200152,1.040537529457966,1.030288891329059
2019m2,.6832406291647404,.6950344437624134,.6891375364635769,1.020388998644794,1.040941461854744,1.030665230249769
2019m3,.6775379483155737,.689296394103627,.6834171712096003,1.025911617315602,1.046402445152835,1.036157031234218
2019m4,.6719513323574734,.6837023730981321,.6778268527278027,1.019267491662673,1.039745415111517,1.029506453387095
2019m5,.6708803033016243,.682641043604359,.6767606734529916,1.013989834626444,1.034484660994278,1.024237247810361
2019m6,.6678156815278571,.6795633088914681,.6736894952096626,1.023727906050077,1.044199881185455,1.033963893617766
2019m7,.6881814176681902,.6999405130377565,.6940609653529733,1.018623722318335,1.03911568214726,1.028869702232798
2019m8,.6676123776222485,.6793587888423782,.6734855832323133,1.030090317172633,1.05056017299844,1.040325245085536
2019m9,.6764689446884511,.6882153729868676,.6823421588376594,1.027222191379366,1.04769207696661,1.037457134172988
2019m10,.6973830436691931,.7091105365072538,.7032467900882234,1.027909232626856,1.048346120378743,1.038127676502799
2019m11,.6699170297564705,.6816412346195797,.6757791321880251,.995817938295842,1.016249096265929,1.006033517280885
2019m12,.6798979339187541,.6916139086644275,.6857559212915908,.9958178623705227,1.016234678145859,1.006026270258191
2020m1,.6845052163019498,.6845052163019498,.6845052163019498,1,1,1
2020m2,.6830011533634383,.6947408931746023,.6888710232690203,.98833389272497,1.008792122635668,.9985630076803189
2020m3,.6850376700191482,.6967817806606112,.6909097253398797,.99085442803079,1.011320274758606,1.001087351394698
2020m4,.6798168173998158,.6915732082126282,.685695012806222,.9811602528015927,1.001647499541066,.9914038761713293
2020m5,.6797915706031447,.6915483464527562,.6856699585279504,.9871629896941587,1.007650907417102,.9974069485556305
2020m6,.670365431465494,.6821221236729932,.6762437775692436,.9849281452146443,1.005415917178858,.9951720311967511
2020m7,.6709321980306996,.6827136259925818,.6768229120116407,.9788343760745997,.9993652537428854,.9890998149087425
2020m8,.6786893947991368,.690455523747836,.6845724592734864,.9879686297949378,1.008472846673961,.9982207382344493
2020m9,.6839265498475677,.6957117163770667,.6898191331123172,1.001002569969115,1.021539962643446,1.011271266306281
2020m10,.6990444071355396,.7108663366705722,.7049553719030559,1.000377533978454,1.020978991617726,1.01067826279809
2020m11,.6975747764856497,.7093885022880295,.7034816393868396,.9959947778134349,1.016581939237336,1.006288358525385
2020m12,.7022814052052718,.7140867119290938,.7081840585671828,1.008357135963701,1.028929625900197,1.018643380931949
2021m1,.6734781506936572,.6852904080250123,.6793842793593348,1.003688605947717,1.024273208344048,1.013980907145883
2021m2,.6336757563776733,.6455137006362156,.6395947285069444,1.001272508851846,1.021901874511294,1.01158719168157
2021m3,.6566129269213479,.6684491795735121,.66253105324743,.9955600773919064,1.016186495177487,1.005873286284697
2021m4,.6824982070651411,.6943490665726813,.6884236368189112,.9951996542505639,1.015851526638236,1.0055255904444
2021m5,.6693605620207048,.6812283117084308,.6752944368645678,1.000040585000622,1.020721891020984,1.010381238010803
2021m6,.6794210412613215,.6912892274912315,.6853551343762765,.9976814269897541,1.018363493749324,1.008022460369539
2021m7,.6861026619209071,.6979640631355241,.6920333625282156,.9947584715506103,1.015428714419272,1.005093592984941
2021m8,.6633900895399317,.6752372794674398,.6693136845036858,.9950816592123742,1.015727136815053,1.005404398013714
2021m9,.6532522070893021,.6651428077970731,.6591975074431876,.9968834039439896,1.017604531240572,1.007243967592281
2021m10,.6638277309160499,.6757071133894041,.669767422152727,1.002028964047882,1.0227305419147,1.012379752981291
2021m11,.6591940690917657,.6710707273954351,.6651323982436004,.9986782074789625,1.0193750380779,1.009026622778431
2021m12,.6747428869083352,.6866453257794363,.6806941063438857,1.004071148024384,1.02481290506839,1.014442026546387
2022m1,.6643627444324111,.6762537201927369,.670308232312574,1.014490277970009,1.035212058851042,1.024851168410525
2022m2,.6500837959613317,.6619758332695771,.6560298146154544,.9991844994255709,1.019908130210584,1.009546314818077
2022m3,.6605457245811872,.6724549436511467,.6665003341161669,1.036576165404885,1.057329737946451,1.046952951675668
2022m4,.6637977306295532,.6757200013033385,.6697588659664458,1.046422711851077,1.067199028739287,1.056810870295182
2022m5,.6476322970077549,.6595484765923124,.6535903868000337,1.052159581308303,1.072925283574226,1.062542432441264
2022m6,.6535723262588164,.6654927408693974,.6595325335641069,1.054547543807505,1.075320626231546,1.064934085019525
2022m7,.6456785074944558,.6576075559330303,.651643031713743,1.052460562063866,1.07324869020791,1.062854626135888
2022m8,.6401209911454038,.6520315907798788,.6460762909626413,1.06377719995961,1.084533178338674,1.074155189149142
2022m9,.660417642986128,.6723713500766301,.6663944965313791,1.098709217313367,1.11954031679907,1.109124767056219
2022m10,.65513928209712,.667124924066232,.661132103081676,1.094525607501865,1.115412358228506,1.104968982865185
2022m11,.6494748063292382,.6614654937250888,.6554701500271635,1.112078454954819,1.132973998082473,1.122526226518646
2022m12,.6520404198581328,.6640345932346289,.6580375065463808,1.088409450408902,1.109311068372511,1.098860259390707
2023m1,.6441512876996844,.6561545751361035,.650152931417894,1.089311340626924,1.110228841185576,1.09977009090625
2023m2,.6509095880729373,.6629142397594198,.6569119139161785,1.094653915928337,1.115573793894146,1.105113854911241
2023m3,.6428560682863227,.6548796095092662,.6488678388977944,1.087004783634017,1.107957579406016,1.097481181520017
2023m4,.6520797822880863,.6641148684446002,.6580973253663432,1.097694677682534,1.118667592205808,1.108181134944171
2023m5,.6625396132725786,.6746360008534261,.6685878070630024,1.10402530872872,1.125105050034618,1.114565179381669
2023m6,.6497057444464763,.6618867318382441,.6557962381423602,1.107617665960871,1.128844834927862,1.118231250444366
